species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,2.646,4.845,,1.019,NA,serial,0.004515443
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,4.261,4.155,ventral,0.94,-87.845,serial,0.006916851
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,1.007,4.453,ventral,0.879,-90,serial,0.005434648
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,2.499,5.119,ventral,0.808,-87.495,serial,0.007043236
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,4.553,4.276,ventral,0.806,-102.295,serial,0.004983307
Sboa,Sboa3,Sboa3_R2,R2,MCZ129188,114.18,31.747851,3.882,4.369,ventral,0.8,-101.469,serial,0.007006481
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,5.562,3.894,ventral,0.755,-110.578,serial,0.004667986
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,0.59,4.224,ventral,0.709,-103.676,serial,0.004383579
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,1.644,3.598,ventral,0.7,-84.244,serial,0.004985045
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,5.546,3.387,ventral,0.691,-103.084,serial,0.004920951
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,5.957,1.844,ventral,0.671,-79.196,serial,0.005849024
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,3.261,4.391,ventral,0.659,-107.817,serial,0.005771589
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,5.784,4.455,ventral,0.64,-119.701,serial,0.005605185
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,0.987,4.679,ventral,0.631,-109.115,serial,0.005526362
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,5.76,1.688,ventral,0.6,-107.77,serial,0.003709657
Sboa,Sboa2,Sboa2_R1,R1,MCZ129188,164.68,36.425522,5.962,5.13,ventral,0.59,-56.853,serial,0.003582706
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,2.712,1.501,ventral,0.582,-77.525,minute,0.005073222
Sboa,Sboa2,Sboa2_R1,R1,MCZ129188,164.68,36.425522,2.954,5.073,ventral,0.57,-52.927,serial,0.003461258
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,2.547,2.388,ventral,0.559,-89.479,serial,0.003456164
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,5.783,3.998,,0.531,NA,serial,0.002428539
Sboa,Sboa1,Sboa1_R2,R2,MCZ129188,161.74,31.986293,6.015,2.21,ventral,0.522,-88.348,serial,0.003227402
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,0.687,1.691,ventral,0.511,-105.104,serial,0.003159392
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,3.613,3.705,ventral,0.508,-79.868,serial,0.003459548
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,6.751,3.711,ventral,0.504,-88.588,serial,0.003432307
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,3.136,1.625,ventral,0.5,-96.16,serial,0.003091381
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,0.593,3.628,ventral,0.489,-90,serial,0.003330155
Mbar,Mbar3,Mbar3_R3,R3,MCZ132343,225.67,36.435,0.834,5.094,ventral,0.481,-88.145,serial,0.002131431
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,3.545,3.883,ventral,0.471,-31.842,serial,0.003448276
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,1.058,2.03,ventral,0.46,-108.846,serial,0.004028727
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,6.04,2.276,ventral,0.449,-107.209,serial,0.003932387
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,3.47,2.036,ventral,0.436,-104.028,serial,0.003818532
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,5.766,3.786,ventral,0.422,-28.734,serial,0.003089538
Fbou,Fbou1,Fbou1_R3,R3,MCZ70491,228.03,22.664012,2.236,1.328,ventral,0.405,-86.304,serial,0.001776082
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,1.763,4.133,ventral,0.394,-90.735,minute,0.003434449
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,0.686,3.996,ventral,0.388,-173.034,serial,0.002840618
Cpli,Cpli3,Cpli3_R2,R2,MCZ132707,124.64,27.00343,2.438,2.542,ventral,0.387,-87.739,serial,0.003104942
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,6.771,4.664,ventral,0.381,-87.709,minute,0.00332113
Cpli,Cpli3,Cpli3_R2,R2,MCZ132707,124.64,27.00343,6.086,2.389,ventral,0.38,-83.157,serial,0.00304878
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,1,4.217,ventral,0.38,-76.891,minute,0.003312413
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.013,4.967,ventral,0.377,-88.472,serial,0.006718945
Mbar,Mbar4,Mbar4_R2,R2,MCZ64833,117.13,36.587376,1.099,2.589,ventral,0.377,-109.451,serial,0.003218646
Pmic,Pmic1,Pmic1_R3,R3,MCZ53256,170.82,36.374322,3.883,4.441,ventral,0.375,-104.136,serial,0.002195293
Pgue,Pgue3,Pgue3_R2,R2,MCZ131481,102.3,32.44416,1.784,4.552,ventral,0.365,-103.65,serial,0.003567937
Cslo,Cslo1,Cslo1_R2,R2,MCZ128574,114.72,36.71668,4.325,4.187,ventral,0.364,-93.18,minute,0.003172943
Pmic,Pmic1,Pmic1_R3,R3,MCZ53256,170.82,36.374322,6.214,4.481,ventral,0.362,-102.946,serial,0.00211919
Ebar,Ebar2,Ebar2_R3,R3,MCZ148300,126.32,35.724308,6.075,4.525,ventral,0.358,-5.609,serial,0.002834072
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,5.886,5.028,ventral,0.352,-88.34,serial,0.006273392
